case,profile,machine,median_seconds,digest,plans,search_calls,branches,max_search_steps,footprint_checks,refutation_hits,supplier_refutation_hits,state_memo_hits,symmetry_pruned,plan_reuse_hits,plan_reuse_invalidations,max_plan_cache_entries
duplicate blocked alternatives,baseline,reference,0.005102158,retry:128,2,258,0,129,0,0,0,0,0,0,0,0
duplicate blocked alternatives,refutation,reference,0.003479004,retry:128,2,258,0,129,0,162,162,0,0,0,0,0
duplicate blocked alternatives,memo,reference,0.003452063,retry:128,2,98,0,49,0,2,2,160,0,0,0,0
duplicate blocked alternatives,full,reference,0.003525019,retry:128,2,98,0,49,0,2,2,160,0,0,0,0
repeated supplier no-good,baseline,reference,0.012459993,retry:96+64,130,322,0,97,12320,0,0,0,0,0,0,0
repeated supplier no-good,refutation,reference,0.009650946,retry:96+64,130,322,0,97,9184,98,98,0,0,0,0,0
repeated supplier no-good,memo,reference,0.009063959,retry:96+64,130,226,0,49,9184,2,2,96,0,0,0,0
repeated supplier no-good,full,reference,0.012809038,retry:96+64,129,225,0,49,9120,2,2,96,0,1,0,65
certified symmetric suppliers,baseline,reference,0.344848156,retry:10,22,4134,0,2047,22526,0,0,0,0,0,0,0
certified symmetric suppliers,refutation,reference,0.345734119,retry:10,22,4134,0,2047,22526,0,0,0,0,0,0,0
certified symmetric suppliers,memo,reference,0.341217995,retry:10,22,4134,0,2047,22526,0,0,0,0,0,0,0
certified symmetric suppliers,full,reference,0.005362034,retry:10,22,82,0,21,402,0,0,0,90,0,0,0
repeated blocked driver cycles,baseline,reference,0.010747910,cycles:9,320,320,0,1,105,0,0,0,0,0,0,0
repeated blocked driver cycles,refutation,reference,0.010030031,cycles:9,320,320,0,1,105,0,0,0,0,0,0,0
repeated blocked driver cycles,memo,reference,0.009833097,cycles:9,320,320,0,1,105,0,0,0,0,0,0,0
repeated blocked driver cycles,full,reference,0.004800081,cycles:9,63,63,0,1,105,0,0,0,0,257,0,32
ordinary binary rendezvous,baseline,reference,0.083904982,sum:45150,1202,3604,0,3,1201,0,0,0,0,0,0,0
ordinary binary rendezvous,refutation,reference,0.080450058,sum:45150,1202,3604,0,3,1201,0,0,0,0,0,0,0
ordinary binary rendezvous,memo,reference,0.085433960,sum:45150,1202,3604,0,3,1201,0,0,0,0,0,0,0
ordinary binary rendezvous,full,reference,0.081315994,sum:45150,1202,3604,0,3,1201,0,0,0,0,0,0,0
triple swap with decoy,baseline,reference,0.004276037,C:A:B,10,105,0,37,94,0,0,0,0,0,0,0
triple swap with decoy,refutation,reference,0.004200935,C:A:B,10,105,0,37,94,0,0,0,0,0,0,0
triple swap with decoy,memo,reference,0.004037857,C:A:B,10,105,0,37,94,0,0,0,0,0,0,0
triple swap with decoy,full,reference,0.004100084,C:A:B,10,105,0,37,94,0,0,0,0,0,0,0
