fanout,seed,status,elapsed_seconds,plans,search_calls,branches,rollbacks,trail_entries,intent_pairs_scanned,compatible_pairs,claim_branches,recruit_branches,exclude_branches,footprint_checks,footprint_matches,footprint_dynamic_matches,footprint_exchange_matches,footprint_location_matches,max_search_steps,max_search_depth,max_intents,max_roots,max_claim_group,max_trail
4,1,ok,0.012823820,87,171,45,45,2186,8,8,16,11,0,109,17,3,8,0,8,7,2,3,1,106
4,2,ok,0.008747101,87,172,46,46,2197,8,8,16,11,0,111,17,3,8,0,8,7,2,3,1,106
4,3,ok,0.007726908,87,167,41,41,2146,8,8,16,11,0,99,17,3,8,0,8,7,2,3,1,106
4,4,ok,0.008504152,87,171,45,45,2186,8,8,16,11,0,105,17,3,8,0,8,7,2,3,1,106
4,5,ok,0.007672071,87,171,45,45,2187,8,8,16,11,0,108,17,3,8,0,8,7,2,3,1,106
4,6,ok,0.008071899,87,172,46,46,2197,8,8,16,11,0,109,17,3,8,0,8,7,2,3,1,106
4,7,ok,0.008065939,87,170,44,44,2177,8,8,16,11,0,107,17,3,8,0,8,7,2,3,1,106
4,8,ok,0.008790970,87,166,40,40,2136,8,8,16,11,0,94,17,3,8,0,8,7,2,3,1,106
4,9,ok,0.008226156,87,173,47,47,2206,8,8,16,11,0,115,17,3,8,0,8,7,2,3,1,106
4,10,ok,0.007759094,87,170,44,44,2177,8,8,16,11,0,105,17,3,8,0,8,7,2,3,1,106
4,11,ok,0.007961035,87,170,44,44,2176,8,8,16,11,0,108,17,3,8,0,8,7,2,3,1,106
4,12,ok,0.007873058,87,169,43,43,2167,8,8,16,11,0,102,17,3,8,0,8,7,2,3,1,106
4,13,ok,0.007647038,87,168,42,42,2156,8,8,16,11,0,98,17,3,8,0,8,7,2,3,1,106
4,14,ok,0.007987022,87,174,48,48,2217,8,8,16,11,0,115,17,3,8,0,8,7,2,3,1,106
4,15,ok,0.007591963,87,169,43,43,2167,8,8,16,11,0,104,17,3,8,0,8,7,2,3,1,106
4,16,ok,0.007482052,87,168,42,42,2156,8,8,16,11,0,104,17,3,8,0,8,7,2,3,1,106
5,1,ok,0.010374784,102,202,52,52,2560,10,10,18,14,0,160,22,4,10,0,8,7,2,3,1,106
5,2,ok,0.009300947,102,200,50,50,2539,10,10,18,14,0,161,22,4,10,0,8,7,2,3,1,106
