tier,group,name,iterations,operations,median_seconds,min_seconds,max_seconds,median_us_per_op,median_retained_kb,diagnostic_seconds,plans,search_calls,search_calls_per_plan,branches_per_plan,p50_search_steps_upper,p95_search_steps_upper,p99_search_steps_upper,p95_search_cpu_us_upper,p99_search_cpu_us_upper,max_search_steps,max_search_depth,max_pending,claim_branches,recruit_branches,footprint_checks,footprint_matches,component_fraction,state_duplicate_fraction,forced_exchanges,forced_claims,requests_analysable,requests_dynamic,dynamic_request_fraction,component_roots_excluded,plan_reuse_eligible
simple,kernel,always perform,4000,4000,0.081506014,0.078336954,0.085986137,20.376503,4.703,0.254263878,4000,4000,1.000,0.000,1,1,1,64,256,1,1,1,0,0,0,0,1.000000,0.000000,0,0,4000,0,0.000000,0,0
simple,scalar,serial read write,1200,1200,0.039710999,0.037648201,0.041625977,33.092499,4.773,0.086294174,1200,1200,1.000,0.000,1,1,1,64,128,1,1,1,0,0,0,0,1.000000,0.000000,0,0,1200,0,0.000000,0,0
simple,rendezvous,two fibre ping pong,700,1400,0.161597013,0.145456076,0.179841042,115.426438,4.805,0.313961029,2802,8404,2.999,1.000,4,4,4,256,512,3,2,2,0,2801,2801,2801,1.000000,0.000000,2801,0,2800,0,0.000000,0,1
simple,external,preloaded event queue,1200,1200,0.106364012,0.101008892,0.146281958,88.636676,4.805,0.150904179,1200,2400,2.000,0.000,2,2,2,128,512,2,1,1,0,0,0,0,1.000000,0.000000,0,1200,1200,0,0.000000,0,0
moderate,product,internal then external rendezvous,260,260,0.050843000,0.049119949,0.055042028,195.550002,4.875,0.086838007,522,2086,3.996,1.498,4,4,4,256,512,4,3,2,0,521,521,521,1.000000,0.000000,782,0,520,0,0.000000,0,1
moderate,product,choice conflict backtracking,320,320,0.020838022,0.020450830,0.021353006,65.118819,4.844,0.034512997,320,799,2.497,1.497,2,4,4,128,256,3,2,1,0,0,0,0,1.000000,0.000000,0,0,320,0,0.000000,0,0
moderate,flow,sequential write read,280,560,0.021884918,0.020855904,0.022557020,39.080211,4.773,0.044197083,560,1120,2.000,1.000,2,2,2,64,256,2,2,1,560,0,0,0,1.000000,0.000000,0,0,560,0,0.000000,0,0
moderate,scope,spawn await settlement,36,36,0.050848007,0.049793005,0.053488970,1412.444645,5.898,0.085916996,878,1567,1.785,0.328,1,8,8,256,256,5,2,3,0,0,609,0,1.000000,0.068077,0,437,623,37,0.056061,0,0
complex,search,triple swap with decoy,14,14,0.031198025,0.030131102,0.031491041,2228.430339,108.784,0.061893940,140,1470,10.500,9.200,8,64,64,2048,2048,37,7,4,0,378,1316,490,1.000000,0.560440,42,0,56,0,0.000000,0,28
complex,search,contended producers,6,192,0.018844843,0.018529177,0.018882036,98.150223,36.898,0.039057970,438,1218,2.781,0.959,4,4,4,128,256,3,3,9,0,390,3120,600,1.000000,0.000000,360,0,384,0,0.000000,0,6
complex,search,nursery rendezvous fanout seven,1,7,0.008074045,0.007540226,0.008213043,1153.435026,6.570,0.013702154,142,278,1.958,0.500,1,8,8,256,512,8,7,9,25,20,337,32,1.000000,0.095745,13,53,107,8,0.069565,0,1
