tier,group,name,iterations,operations,median_seconds,min_seconds,max_seconds,median_us_per_op,median_retained_kb,diagnostic_seconds,plans,search_calls,search_calls_per_plan,branches_per_plan,p50_search_steps_upper,p95_search_steps_upper,p99_search_steps_upper,p95_search_cpu_us_upper,p99_search_cpu_us_upper,max_search_steps,max_search_depth,max_pending,claim_branches,recruit_branches,footprint_checks,footprint_matches,component_fraction,state_duplicate_fraction,forced_exchanges,forced_claims,requests_analysable,requests_dynamic,dynamic_request_fraction,component_roots_excluded,plan_reuse_eligible
simple,kernel,always perform,4000,4000,0.065903902,0.064839125,0.072333813,16.475976,4.828,0.206542969,4000,4000,1.000,0.000,1,1,1,64,256,1,1,1,0,0,0,0,1.000000,0.000000,0,0,4000,0,0.000000,0,0
simple,scalar,serial read write,1200,1200,0.034487963,0.033511877,0.034842968,28.739969,4.898,0.074312925,1200,1200,1.000,0.000,1,1,1,64,128,1,1,1,0,0,0,0,1.000000,0.000000,0,0,1200,0,0.000000,0,0
simple,rendezvous,two fibre ping pong,700,1400,0.141727924,0.130743027,0.152662039,101.234232,4.930,0.303481817,2802,8404,2.999,1.000,4,4,4,256,512,3,2,2,0,2801,2801,2801,1.000000,0.000000,2801,0,2800,0,0.000000,0,1
simple,external,preloaded event queue,1200,1200,0.107965946,0.105102062,0.144057035,89.971622,4.930,0.146987200,1200,2400,2.000,0.000,2,2,2,128,512,2,1,1,0,0,0,0,1.000000,0.000000,0,1200,1200,0,0.000000,0,0
moderate,product,internal then external rendezvous,260,260,0.050359964,0.049453974,0.051373005,193.692171,5.000,0.083279848,522,2086,3.996,1.498,4,4,4,256,512,4,3,2,0,521,521,521,1.000000,0.000000,782,0,520,0,0.000000,0,1
moderate,product,choice conflict backtracking,320,320,0.021446943,0.021147013,0.025082111,67.021698,4.969,0.035927057,320,799,2.497,1.497,2,4,4,128,256,3,2,1,0,0,0,0,1.000000,0.000000,0,0,320,0,0.000000,0,0
moderate,flow,sequential write read,280,560,0.021894217,0.021618128,0.023110151,39.096815,4.898,0.043210030,560,1120,2.000,1.000,2,2,2,64,256,2,2,1,560,0,0,0,1.000000,0.000000,0,0,560,0,0.000000,0,0
moderate,scope,spawn await settlement,36,36,0.051254034,0.050581932,0.056114912,1423.723168,6.023,0.086890936,878,1567,1.785,0.328,1,8,8,256,256,5,2,3,0,0,609,0,1.000000,0.068077,0,437,623,37,0.056061,0,0
complex,search,triple swap with decoy,14,14,0.031215906,0.030612946,0.034318924,2229.707582,110.503,0.064455986,140,1470,10.500,9.200,8,64,64,2048,4096,37,7,4,0,378,1316,490,1.000000,0.560440,42,0,56,0,0.000000,0,28
complex,search,contended producers,6,192,0.018867970,0.018605232,0.019667149,98.270675,37.648,0.037992954,438,1218,2.781,0.959,4,4,4,128,128,3,3,9,0,390,3120,600,1.000000,0.000000,360,0,384,0,0.000000,0,6
complex,search,nursery rendezvous fanout seven,1,7,0.007901907,0.007472992,0.008394003,1128.843852,6.820,0.014036179,142,278,1.958,0.500,1,8,8,256,512,8,7,9,25,20,337,32,1.000000,0.095745,13,53,107,8,0.069565,0,1
