tier,group,name,before_us_per_op,after_us_per_op,change_percent,scale,repeats
simple,kernel,always perform,14.997919,15.535752,3.586,3,5
simple,scalar,serial read write,29.786958,29.863914,0.258,3,5
simple,rendezvous,two fibre ping pong,69.015480,69.278592,0.381,3,5
simple,external,preloaded event queue,175.605284,170.685583,-2.802,3,5
moderate,product,internal then external rendezvous,158.802668,164.787280,3.769,3,5
moderate,product,choice conflict backtracking,70.687383,76.982131,8.905,3,5
moderate,flow,sequential write read,37.508919,45.109505,20.263,3,5
moderate,scope,spawn await settlement,1368.405642,1748.859882,27.803,3,5
complex,search,triple swap with decoy,3098.334585,3285.430727,6.039,3,5
complex,search,contended producers,197.303792,77.594072,-60.673,3,5
complex,search,nursery rendezvous fanout seven,40149.529775,1978.908266,-95.071,3,5
