fanout,seed,status,elapsed_seconds,plans,search_calls,branches,rollbacks,trail_entries,intent_pairs_scanned,compatible_pairs,claim_branches,recruit_branches,exclude_branches,footprint_checks,footprint_matches,footprint_dynamic_matches,footprint_exchange_matches,footprint_location_matches,max_search_steps,max_search_depth,max_intents,max_roots,max_claim_group,max_trail
8,1,ok,0.023929834,160,312,78,78,3862,16,16,27,23,0,443,37,7,16,0,8,7,2,3,1,106
8,2,ok,0.016223907,160,308,74,74,3821,16,16,27,23,0,419,37,7,16,0,8,7,2,3,1,106
8,3,ok,0.014387131,160,312,78,78,3862,16,16,27,23,0,444,37,7,16,0,8,7,2,3,1,106
8,4,ok,0.014125109,160,309,75,75,3831,16,16,27,23,0,427,37,7,16,0,8,7,2,3,1,106
9,1,ok,0.018641949,182,356,91,91,4362,18,18,30,26,0,608,42,8,18,0,8,7,2,3,1,106
9,2,ok,0.020308971,182,350,85,85,4301,18,18,30,26,0,565,42,8,18,0,8,7,2,3,1,106
9,3,ok,0.016747952,182,353,88,88,4332,18,18,30,26,0,597,42,8,18,0,8,7,2,3,1,106
9,4,ok,0.016186953,182,352,87,87,4321,18,18,30,26,0,583,42,8,18,0,8,7,2,3,1,106
10,1,ok,0.022400856,206,393,96,96,4804,20,20,34,29,0,750,47,9,20,0,8,7,2,3,1,106
10,2,ok,0.019320965,206,390,93,93,4775,20,20,34,29,0,717,47,9,20,0,8,7,2,3,1,106
10,3,ok,0.023071051,206,394,97,97,4815,20,20,34,29,0,751,47,9,20,0,8,7,2,3,1,106
10,4,ok,0.022417068,206,393,96,96,4805,20,20,34,29,0,717,47,9,20,0,8,7,2,3,1,106
11,1,ok,0.021477222,227,428,101,101,5205,22,22,36,32,0,915,52,10,22,0,8,7,2,3,1,106
11,2,ok,0.019553900,227,427,100,100,5196,22,22,36,32,0,895,52,10,22,0,8,7,2,3,1,106
11,3,ok,0.022817850,227,430,103,103,5226,22,22,36,32,0,928,52,10,22,0,8,7,2,3,1,106
11,4,ok,0.020088196,227,428,101,101,5205,22,22,36,32,0,893,52,10,22,0,8,7,2,3,1,106
12,1,ok,0.024811029,252,475,114,114,5729,24,24,39,35,0,1147,57,11,24,0,8,7,2,3,1,106
12,2,ok,0.021501064,252,474,113,113,5720,24,24,39,35,0,1150,57,11,24,0,8,7,2,3,1,106
12,3,ok,0.024019957,252,476,115,115,5739,24,24,39,35,0,1183,57,11,24,0,8,7,2,3,1,106
12,4,ok,0.023133993,252,475,114,114,5730,24,24,39,35,0,1136,57,11,24,0,8,7,2,3,1,106
13,1,ok,0.028935909,279,517,121,121,6216,26,26,43,38,0,1383,62,12,26,0,8,7,2,3,1,106
13,2,ok,0.025117159,279,514,118,118,6186,26,26,43,38,0,1373,62,12,26,0,8,7,2,3,1,106
13,3,ok,0.023761034,279,519,123,123,6237,26,26,43,38,0,1394,62,12,26,0,8,7,2,3,1,106
13,4,ok,0.023808002,279,514,118,118,6186,26,26,43,38,0,1345,62,12,26,0,8,7,2,3,1,106
14,1,ok,0.027013063,303,554,125,125,6632,28,28,45,41,0,1574,67,13,28,0,8,7,2,3,1,106
14,2,ok,0.024826050,303,555,126,126,6642,28,28,45,41,0,1565,67,13,28,0,8,7,2,3,1,106
14,3,ok,0.026287079,303,557,128,128,6661,28,28,45,41,0,1600,67,13,28,0,8,7,2,3,1,106
14,4,ok,0.024973869,303,554,125,125,6631,28,28,45,41,0,1551,67,13,28,0,8,7,2,3,1,106
15,1,ok,0.030179024,331,603,137,137,7169,30,30,48,44,0,1663,72,14,30,0,8,7,2,3,1,106
15,2,ok,0.031194210,331,603,137,137,7169,30,30,48,44,0,1654,72,14,30,0,8,7,2,3,1,106
15,3,ok,0.028795958,331,607,141,141,7210,30,30,48,44,0,1689,72,14,30,0,8,7,2,3,1,106
15,4,ok,0.029009104,331,603,137,137,7169,30,30,48,44,0,1640,72,14,30,0,8,7,2,3,1,106
16,1,ok,0.034605026,361,651,147,147,7711,32,32,52,47,0,1790,77,15,32,0,8,7,2,3,1,106
16,2,ok,0.034152985,361,651,147,147,7710,32,32,52,47,0,1765,77,15,32,0,8,7,2,3,1,106
16,3,ok,0.034909964,361,650,146,146,7701,32,32,52,47,0,1813,77,15,32,0,8,7,2,3,1,106
16,4,ok,0.034211874,361,649,145,145,7691,32,32,52,47,0,1733,77,15,32,0,8,7,2,3,1,106
