tier,group,name,iterations,operations,median_seconds,min_seconds,max_seconds,median_us_per_op,median_retained_kb,diagnostic_seconds,plans,search_calls,search_calls_per_plan,branches_per_plan,p50_search_steps_upper,p95_search_steps_upper,p99_search_steps_upper,p95_search_cpu_us_upper,p99_search_cpu_us_upper,max_search_steps,max_search_depth,max_pending,claim_branches,recruit_branches,footprint_checks,footprint_matches,component_fraction,state_duplicate_fraction,forced_exchanges,forced_claims,requests_analysable,requests_dynamic,dynamic_request_fraction,component_roots_excluded,plan_reuse_eligible
simple,kernel,always perform,4000,4000,0.068732977,0.063439131,0.075222015,17.183244,4.664,0.208945990,4000,4000,1.000,0.000,1,1,1,64,256,1,1,1,0,0,0,0,1.000000,0.000000,0,0,4000,0,0.000000,0,0
simple,scalar,serial read write,1200,1200,0.034195900,0.033603907,0.037124872,28.496583,4.664,0.073538065,1200,1200,1.000,0.000,1,1,1,64,128,1,1,1,0,0,0,0,1.000000,0.000000,0,0,1200,0,0.000000,0,0
simple,rendezvous,two fibre ping pong,700,1400,0.134120941,0.123166084,0.141736031,95.800672,4.766,0.310198069,2802,8404,2.999,1.000,4,4,4,256,512,3,2,2,0,2801,2801,2801,1.000000,0.000000,2801,0,2800,0,0.000000,0,1
simple,external,preloaded event queue,1200,1200,0.108720064,0.105128050,0.119551897,90.600053,4.766,0.158700943,1200,2400,2.000,0.000,2,2,2,128,512,2,1,1,0,0,0,0,1.000000,0.000000,0,1200,1200,0,0.000000,0,0
moderate,product,internal then external rendezvous,260,260,0.047674179,0.047107935,0.052359104,183.362227,4.836,0.086451054,522,2086,3.996,1.498,4,4,4,256,512,4,3,2,0,521,521,521,1.000000,0.000000,782,0,520,0,0.000000,0,1
moderate,product,choice conflict backtracking,320,320,0.020745993,0.020344973,0.023016930,64.831227,4.734,0.036144972,320,799,2.497,1.497,2,4,4,128,256,3,2,1,0,0,0,0,1.000000,0.000000,0,0,320,0,0.000000,0,0
moderate,flow,sequential write read,280,560,0.021304131,0.020542860,0.022313118,38.043090,4.734,0.045755863,560,1120,2.000,1.000,2,2,2,128,256,2,2,1,560,0,0,0,1.000000,0.000000,0,0,560,0,0.000000,0,0
moderate,scope,spawn await settlement,36,36,0.053986073,0.050706863,0.060311794,1499.613126,5.578,0.099869013,878,1567,1.785,0.328,1,8,8,256,512,5,2,3,0,0,609,0,1.000000,0.068077,0,437,623,37,0.056061,0,0
complex,search,triple swap with decoy,14,14,0.031420946,0.029675961,0.033612013,2244.353294,107.925,0.063511848,140,1470,10.500,9.200,8,64,64,2048,2048,37,7,4,0,378,1316,490,1.000000,0.560440,42,0,56,0,0.000000,0,28
complex,search,contended producers,6,192,0.018677950,0.018204927,0.019171000,97.280989,28.516,0.038208008,438,1218,2.781,0.959,4,4,4,128,256,3,3,9,0,390,3120,600,1.000000,0.000000,360,0,384,0,0.000000,0,6
complex,search,nursery rendezvous fanout seven,1,7,0.007902861,0.007650137,0.007983923,1128.980092,6.391,0.013786077,142,278,1.958,0.500,1,8,8,256,512,8,7,9,25,20,337,32,1.000000,0.095745,13,53,107,8,0.069565,0,1
