fanout,seed,status,elapsed_seconds,plans,search_calls,branches,rollbacks,trail_entries,intent_pairs_scanned,compatible_pairs,claim_branches,recruit_branches,exclude_branches,footprint_checks,footprint_matches,footprint_dynamic_matches,footprint_exchange_matches,footprint_location_matches,max_search_steps,max_search_depth,max_intents,max_roots,max_claim_group,max_trail
4,1,ok,0.013900042,87,171,45,45,2186,8,8,16,11,0,109,17,3,8,0,8,7,2,3,1,106
4,2,ok,0.012151003,87,172,46,46,2197,8,8,16,11,0,111,17,3,8,0,8,7,2,3,1,106
4,3,ok,0.007556915,87,167,41,41,2146,8,8,16,11,0,99,17,3,8,0,8,7,2,3,1,106
4,4,ok,0.008093834,87,171,45,45,2186,8,8,16,11,0,105,17,3,8,0,8,7,2,3,1,106
4,5,ok,0.007569075,87,171,45,45,2187,8,8,16,11,0,108,17,3,8,0,8,7,2,3,1,106
4,6,ok,0.007555962,87,172,46,46,2197,8,8,16,11,0,109,17,3,8,0,8,7,2,3,1,106
4,7,ok,0.008003950,87,170,44,44,2177,8,8,16,11,0,107,17,3,8,0,8,7,2,3,1,106
4,8,ok,0.008799076,87,166,40,40,2136,8,8,16,11,0,94,17,3,8,0,8,7,2,3,1,106
5,1,ok,0.012589931,102,202,52,52,2560,10,10,18,14,0,160,22,4,10,0,8,7,2,3,1,106
5,2,ok,0.009444952,102,200,50,50,2539,10,10,18,14,0,161,22,4,10,0,8,7,2,3,1,106
5,3,ok,0.009016037,102,198,48,48,2519,10,10,18,14,0,155,22,4,10,0,8,7,2,3,1,106
5,4,ok,0.009754181,102,203,53,53,2570,10,10,18,14,0,160,22,4,10,0,8,7,2,3,1,106
5,5,ok,0.009074926,102,200,50,50,2539,10,10,18,14,0,159,22,4,10,0,8,7,2,3,1,106
5,6,ok,0.009207964,102,202,52,52,2560,10,10,18,14,0,160,22,4,10,0,8,7,2,3,1,106
5,7,ok,0.008970976,102,197,47,47,2509,10,10,18,14,0,146,22,4,10,0,8,7,2,3,1,106
5,8,ok,0.008836985,102,196,46,46,2499,10,10,18,14,0,143,22,4,10,0,8,7,2,3,1,106
6,1,ok,0.012551069,121,242,64,64,3025,12,12,21,17,0,252,27,5,12,0,8,7,2,3,1,106
6,2,ok,0.011113882,121,239,61,61,2996,12,12,21,17,0,235,27,5,12,0,8,7,2,3,1,106
6,3,ok,0.011564016,121,240,62,62,3006,12,12,21,17,0,248,27,5,12,0,8,7,2,3,1,106
6,4,ok,0.012228012,121,242,64,64,3025,12,12,21,17,0,246,27,5,12,0,8,7,2,3,1,106
6,5,ok,0.011019945,121,240,62,62,3006,12,12,21,17,0,240,27,5,12,0,8,7,2,3,1,106
6,6,ok,0.010789156,121,243,65,65,3035,12,12,21,17,0,259,27,5,12,0,8,7,2,3,1,106
6,7,ok,0.010728836,121,238,60,60,2986,12,12,21,17,0,232,27,5,12,0,8,7,2,3,1,106
6,8,ok,0.011744022,121,239,61,61,2996,12,12,21,17,0,237,27,5,12,0,8,7,2,3,1,106
7,1,ok,0.017101049,142,278,71,71,3465,14,14,25,20,0,337,32,6,14,0,8,7,2,3,1,106
7,2,ok,0.013912916,142,276,69,69,3444,14,14,25,20,0,323,32,6,14,0,8,7,2,3,1,106
7,3,ok,0.013525009,142,277,70,70,3455,14,14,25,20,0,322,32,6,14,0,8,7,2,3,1,106
7,4,ok,0.013692141,142,276,69,69,3444,14,14,25,20,0,323,32,6,14,0,8,7,2,3,1,106
7,5,ok,0.015368938,142,277,70,70,3455,14,14,25,20,0,321,32,6,14,0,8,7,2,3,1,106
7,6,ok,0.015182018,142,279,72,72,3475,14,14,25,20,0,338,32,6,14,0,8,7,2,3,1,106
7,7,ok,0.014808893,142,275,68,68,3434,14,14,25,20,0,320,32,6,14,0,8,7,2,3,1,106
7,8,ok,0.013266087,142,275,68,68,3435,14,14,25,20,0,310,32,6,14,0,8,7,2,3,1,106
8,1,ok,0.014683962,160,312,78,78,3862,16,16,27,23,0,443,37,7,16,0,8,7,2,3,1,106
8,2,ok,0.014912128,160,308,74,74,3821,16,16,27,23,0,419,37,7,16,0,8,7,2,3,1,106
8,3,ok,0.014544010,160,312,78,78,3862,16,16,27,23,0,444,37,7,16,0,8,7,2,3,1,106
8,4,ok,0.014101982,160,309,75,75,3831,16,16,27,23,0,427,37,7,16,0,8,7,2,3,1,106
8,5,ok,0.014562845,160,310,76,76,3842,16,16,27,23,0,426,37,7,16,0,8,7,2,3,1,106
8,6,ok,0.014232874,160,311,77,77,3852,16,16,27,23,0,434,37,7,16,0,8,7,2,3,1,106
8,7,ok,0.016277075,160,306,72,72,3801,16,16,27,23,0,407,37,7,16,0,8,7,2,3,1,106
8,8,ok,0.014720917,160,308,74,74,3821,16,16,27,23,0,423,37,7,16,0,8,7,2,3,1,106
9,1,ok,0.019253016,182,356,91,91,4362,18,18,30,26,0,608,42,8,18,0,8,7,2,3,1,106
9,2,ok,0.018152952,182,350,85,85,4301,18,18,30,26,0,565,42,8,18,0,8,7,2,3,1,106
9,3,ok,0.019189835,182,353,88,88,4332,18,18,30,26,0,597,42,8,18,0,8,7,2,3,1,106
9,4,ok,0.017224073,182,352,87,87,4321,18,18,30,26,0,583,42,8,18,0,8,7,2,3,1,106
9,5,ok,0.018467903,182,351,86,86,4311,18,18,30,26,0,572,42,8,18,0,8,7,2,3,1,106
9,6,ok,0.018058062,182,355,90,90,4352,18,18,30,26,0,599,42,8,18,0,8,7,2,3,1,106
9,7,ok,0.017215014,182,349,84,84,4291,18,18,30,26,0,571,42,8,18,0,8,7,2,3,1,106
9,8,ok,0.016893864,182,353,88,88,4332,18,18,30,26,0,587,42,8,18,0,8,7,2,3,1,106
10,1,ok,0.021156073,206,393,96,96,4804,20,20,34,29,0,750,47,9,20,0,8,7,2,3,1,106
10,2,ok,0.024307966,206,390,93,93,4775,20,20,34,29,0,717,47,9,20,0,8,7,2,3,1,106
10,3,ok,0.018290997,206,394,97,97,4815,20,20,34,29,0,751,47,9,20,0,8,7,2,3,1,106
10,4,ok,0.020657063,206,393,96,96,4805,20,20,34,29,0,717,47,9,20,0,8,7,2,3,1,106
10,5,ok,0.020693064,206,388,91,91,4754,20,20,34,29,0,712,47,9,20,0,8,7,2,3,1,106
10,6,ok,0.021835804,206,393,96,96,4805,20,20,34,29,0,741,47,9,20,0,8,7,2,3,1,106
10,7,ok,0.022040129,206,390,93,93,4775,20,20,34,29,0,705,47,9,20,0,8,7,2,3,1,106
10,8,ok,0.018605947,206,391,94,94,4784,20,20,34,29,0,739,47,9,20,0,8,7,2,3,1,106
11,1,ok,0.020761967,227,428,101,101,5205,22,22,36,32,0,915,52,10,22,0,8,7,2,3,1,106
11,2,ok,0.021662951,227,427,100,100,5196,22,22,36,32,0,895,52,10,22,0,8,7,2,3,1,106
11,3,ok,0.020815849,227,430,103,103,5226,22,22,36,32,0,928,52,10,22,0,8,7,2,3,1,106
11,4,ok,0.020659924,227,428,101,101,5205,22,22,36,32,0,893,52,10,22,0,8,7,2,3,1,106
11,5,ok,0.021167994,227,427,100,100,5196,22,22,36,32,0,912,52,10,22,0,8,7,2,3,1,106
11,6,ok,0.020612001,227,427,100,100,5195,22,22,36,32,0,906,52,10,22,0,8,7,2,3,1,106
11,7,ok,0.019734859,227,424,97,97,5165,22,22,36,32,0,880,52,10,22,0,8,7,2,3,1,106
11,8,ok,0.020383835,227,428,101,101,5206,22,22,36,32,0,916,52,10,22,0,8,7,2,3,1,106
12,1,ok,0.025032043,252,475,114,114,5729,24,24,39,35,0,1147,57,11,24,0,8,7,2,3,1,106
12,2,ok,0.022912979,252,474,113,113,5720,24,24,39,35,0,1150,57,11,24,0,8,7,2,3,1,106
12,3,ok,0.022832870,252,476,115,115,5739,24,24,39,35,0,1183,57,11,24,0,8,7,2,3,1,106
12,4,ok,0.021998882,252,475,114,114,5730,24,24,39,35,0,1136,57,11,24,0,8,7,2,3,1,106
12,5,ok,0.021486998,252,472,111,111,5699,24,24,39,35,0,1154,57,11,24,0,8,7,2,3,1,106
12,6,ok,0.021304131,252,473,112,112,5709,24,24,39,35,0,1137,57,11,24,0,8,7,2,3,1,106
12,7,ok,0.021651983,252,472,111,111,5700,24,24,39,35,0,1135,57,11,24,0,8,7,2,3,1,106
12,8,ok,0.021636963,252,473,112,112,5709,24,24,39,35,0,1170,57,11,24,0,8,7,2,3,1,106
13,1,ok,0.025721073,279,517,121,121,6216,26,26,43,38,0,1383,62,12,26,0,8,7,2,3,1,106
13,2,ok,0.025081158,279,514,118,118,6186,26,26,43,38,0,1373,62,12,26,0,8,7,2,3,1,106
13,3,ok,0.025588036,279,519,123,123,6237,26,26,43,38,0,1394,62,12,26,0,8,7,2,3,1,106
13,4,ok,0.023865938,279,514,118,118,6186,26,26,43,38,0,1345,62,12,26,0,8,7,2,3,1,106
13,5,ok,0.025701046,279,517,121,121,6217,26,26,43,38,0,1392,62,12,26,0,8,7,2,3,1,106
13,6,ok,0.024291992,279,514,118,118,6186,26,26,43,38,0,1359,62,12,26,0,8,7,2,3,1,106
13,7,ok,0.024012089,279,512,116,116,6166,26,26,43,38,0,1358,62,12,26,0,8,7,2,3,1,106
13,8,ok,0.023662090,279,517,121,121,6217,26,26,43,38,0,1382,62,12,26,0,8,7,2,3,1,106
14,1,ok,0.030262947,303,554,125,125,6632,28,28,45,41,0,1574,67,13,28,0,8,7,2,3,1,106
14,2,ok,0.028333187,303,555,126,126,6642,28,28,45,41,0,1565,67,13,28,0,8,7,2,3,1,106
14,3,ok,0.029868841,303,557,128,128,6661,28,28,45,41,0,1600,67,13,28,0,8,7,2,3,1,106
14,4,ok,0.028513193,303,554,125,125,6631,28,28,45,41,0,1551,67,13,28,0,8,7,2,3,1,106
14,5,ok,0.030611038,303,556,127,127,6652,28,28,45,41,0,1585,67,13,28,0,8,7,2,3,1,106
14,6,ok,0.028795004,303,553,124,124,6622,28,28,45,41,0,1565,67,13,28,0,8,7,2,3,1,106
