tier,group,name,iterations,operations,median_seconds,min_seconds,max_seconds,median_us_per_op,median_retained_kb,diagnostic_seconds,plans,search_calls,search_calls_per_plan,branches_per_plan,p50_search_steps_upper,p95_search_steps_upper,p99_search_steps_upper,p95_search_cpu_us_upper,p99_search_cpu_us_upper,max_search_steps,max_search_depth,max_pending,claim_branches,recruit_branches,footprint_checks,footprint_matches
simple,kernel,always perform,4000,4000,0.066524982,0.065195799,0.067049980,16.631246,2.672,0.115688086,4000,4000,1.000,0.000,1,1,1,32,64,1,1,1,0,0,0,0
simple,scalar,serial read write,1200,1200,0.035376072,0.034817934,0.041798830,29.480060,2.672,0.052165985,1200,1200,1.000,0.000,1,1,1,64,128,1,1,1,0,0,0,0
simple,rendezvous,two fibre ping pong,700,1400,0.119714022,0.108612061,0.125205994,85.510015,2.773,0.168417931,2802,8404,2.999,1.999,4,4,4,64,256,3,3,2,0,2801,2801,2801
simple,external,preloaded event queue,1200,1200,0.120487928,0.103270054,0.149404049,100.406607,2.773,0.120966911,1200,2400,2.000,1.000,2,2,2,128,256,2,2,1,1200,0,0,0
moderate,product,internal then external rendezvous,260,260,0.041368008,0.040354967,0.044834137,159.107722,2.844,0.056453943,522,2086,3.996,2.996,4,4,4,128,512,4,4,2,0,521,521,521
moderate,product,choice conflict backtracking,320,320,0.023016930,0.021645784,0.026691914,71.927905,2.742,0.027292967,320,799,2.497,1.497,2,4,4,128,256,3,2,1,0,0,0,0
moderate,flow,sequential write read,280,560,0.019236803,0.018767834,0.019909143,34.351434,2.742,0.030526876,560,1120,2.000,1.000,2,2,2,64,128,2,2,1,560,0,0,0
moderate,scope,spawn await settlement,36,36,0.051270008,0.049682856,0.052973986,1424.166891,3.516,0.065577984,878,1567,1.785,0.826,1,8,8,256,256,5,5,3,437,0,0,0
complex,search,triple swap with decoy,14,14,0.044574022,0.044445038,0.047722816,3183.858735,75.378,0.052610874,140,2646,18.900,17.900,8,128,128,2048,4096,79,7,4,0,490,490,490
complex,search,contended producers,6,192,0.014521837,0.014457941,0.015013933,75.634569,8.562,0.022695065,438,1218,2.781,1.781,4,4,4,64,128,3,3,9,0,390,2910,390
complex,search,nursery rendezvous fanout seven,1,7,0.013469934,0.013159037,0.013520002,1924.276352,4.188,0.017650127,142,512,3.606,2.613,2,8,32,256,1024,28,8,9,163,63,921,63
