fanout,seed,status,elapsed_seconds,plans,search_calls,branches,rollbacks,trail_entries,intent_pairs_scanned,compatible_pairs,claim_branches,recruit_branches,exclude_branches,footprint_checks,footprint_matches,footprint_dynamic_matches,footprint_exchange_matches,footprint_location_matches,max_search_steps,max_search_depth,max_intents,max_roots,max_claim_group,max_trail
4,1,ok,0.013175011,87,240,153,153,3073,64,8,73,24,13,130,24,16,8,0,28,8,3,3,1,96
4,2,ok,0.008443117,87,241,155,155,3083,64,8,74,24,13,130,24,16,8,0,28,8,3,3,1,96
4,3,ok,0.007712126,87,236,149,149,3037,64,8,73,24,13,130,24,16,8,0,28,8,3,3,1,96
4,4,ok,0.008424997,87,240,153,153,3073,64,8,73,24,13,130,24,16,8,0,28,8,3,3,1,96
4,5,ok,0.008733034,87,240,154,154,3074,64,8,74,24,13,130,24,16,8,0,28,8,3,3,1,96
4,6,ok,0.008141994,87,241,155,155,3083,64,8,74,24,13,130,24,16,8,0,28,8,3,3,1,96
4,7,ok,0.008069992,87,239,153,153,3065,64,8,74,24,13,130,24,16,8,0,28,8,3,3,1,96
4,8,ok,0.008013964,87,235,148,148,3028,64,8,73,24,13,130,24,16,8,0,28,8,3,3,1,96
5,1,ok,0.213873148,102,8189,8087,8087,94080,32896,3816,2179,550,535,2236,550,24,526,0,7915,13,7,7,1,132
5,2,ok,0.009716988,102,284,182,182,3647,74,10,87,32,17,216,32,22,10,0,28,11,3,4,1,121
5,3,ok,0.009444952,102,285,184,184,3657,74,10,88,32,17,216,32,22,10,0,28,11,3,4,1,121
5,4,ok,0.181626081,102,8190,8088,8088,94089,32896,3816,2179,550,535,2236,550,24,526,0,7915,13,7,7,1,132
5,5,ok,0.104897022,102,4236,4135,4135,48860,16485,1913,1134,291,276,1226,291,23,268,0,3963,13,7,7,1,132
5,6,ok,0.180587053,102,8189,8087,8087,94080,32896,3816,2179,550,535,2236,550,24,526,0,7915,13,7,7,1,132
5,7,ok,0.011796951,102,282,180,180,3629,74,10,87,32,17,216,32,22,10,0,28,11,3,4,1,121
5,8,ok,0.093504906,102,4234,4133,4133,48842,16485,1913,1134,291,276,1226,291,23,268,0,3963,13,7,7,1,132
6,1,ok,0.014889002,121,458,338,338,5959,183,12,147,54,37,747,54,42,12,0,28,8,3,3,1,96
6,2,ok,0.016108990,121,455,336,336,5933,183,12,148,54,37,747,54,42,12,0,28,8,3,3,1,96
6,3,ok,0.015762091,121,456,337,337,5942,183,12,148,54,37,747,54,42,12,0,28,8,3,3,1,96
6,4,ok,0.014575958,121,458,338,338,5959,183,12,147,54,37,747,54,42,12,0,28,8,3,3,1,96
6,5,ok,0.015995979,121,456,337,337,5942,183,12,148,54,37,747,54,42,12,0,28,8,3,3,1,96
6,6,ok,0.014396906,121,459,339,339,5968,183,12,147,54,37,747,54,42,12,0,28,8,3,3,1,96
6,7,ok,0.016061068,121,454,335,335,5924,183,12,148,54,37,747,54,42,12,0,28,8,3,3,1,96
6,8,ok,0.016083002,121,455,336,336,5933,183,12,148,54,37,747,54,42,12,0,28,8,3,3,1,96
7,1,ok,0.016381979,142,512,371,371,6702,194,14,163,63,43,921,63,49,14,0,28,8,3,3,1,96
7,2,ok,0.017743111,142,510,368,368,6683,194,14,162,63,43,921,63,49,14,0,28,8,3,3,1,96
7,3,ok,0.016475916,142,511,370,370,6693,194,14,163,63,43,921,63,49,14,0,28,8,3,3,1,96
7,4,ok,0.018028021,142,510,368,368,6683,194,14,162,63,43,921,63,49,14,0,28,8,3,3,1,96
7,5,ok,0.017691135,142,511,370,370,6693,194,14,163,63,43,921,63,49,14,0,28,8,3,3,1,96
7,6,ok,0.017340899,142,513,372,372,6711,194,14,163,63,43,921,63,49,14,0,28,8,3,3,1,96
7,7,ok,0.017960072,142,509,367,367,6674,194,14,162,63,43,921,63,49,14,0,28,8,3,3,1,96
7,8,ok,0.016445160,142,509,368,368,6675,194,14,163,63,43,921,63,49,14,0,28,8,3,3,1,96
